question,answer,category
"What time is check-in?","Check-in starts at 2:00 PM. Early check-in is available based on room availability.","checkin_checkout"
"What time is check-out?","Check-out is at 12:00 PM. Late check-out can be requested at the front desk.","checkin_checkout"
"Do you provide airport pickup?","Yes, we provide paid airport pickup and drop-off. Please share your flight details 24 hours in advance.","transport"
"Is breakfast included in the room price?","Breakfast is included for Deluxe and Suite bookings. Standard rooms can add breakfast for an additional charge.","dining"
"Do you have free Wi-Fi?","Yes, complimentary high-speed Wi-Fi is available in all rooms and public areas.","amenities"
"Is there parking available?","Yes, we offer free on-site parking for hotel guests.","amenities"
"Do you have a swimming pool?","Yes, our outdoor swimming pool is open daily from 7:00 AM to 9:00 PM.","amenities"
"Is the hotel family-friendly?","Yes, we are family-friendly and provide extra beds, baby cots, and kid-friendly meal options.","policies"
"Are pets allowed?","Small pets are allowed in selected rooms with an additional cleaning fee.","policies"
"How can I cancel my booking?","You can cancel through our website or call reception. Free cancellation is available up to 24 hours before check-in.","booking"
"Do you have room service?","Yes, room service is available 24/7 with a full menu.","dining"
"Can I request a non-smoking room?","Yes, non-smoking rooms are available on request and subject to availability.","room_preferences"
"Do you offer laundry service?","Yes, same-day laundry service is available for items submitted before 10:00 AM.","services"
"Is there a gym or fitness center?","Yes, our fitness center is open 24 hours for in-house guests.","amenities"
"Do you have meeting rooms?","Yes, we have fully equipped meeting and conference rooms for business events.","business"
"Can I pay at the hotel?","Yes, pay-at-hotel is available for selected rate plans.","payment"
"Which payment methods do you accept?","We accept cash, major credit/debit cards, and digital wallets.","payment"
"How far is the hotel from the city center?","The hotel is about 3 kilometers from the city center, around 10 minutes by car.","location"
"Do you provide extra towels and toiletries?","Yes, additional towels and toiletries are available on request from housekeeping.","services"
"Is there 24-hour reception?","Yes, our front desk is open 24/7 to assist you anytime.","reception"
"Can I store my luggage before check-in?","Yes, complimentary luggage storage is available before check-in and after check-out.","services"
"Do you offer wake-up calls?","Yes, wake-up call service is available any time; request it at reception.","services"
"Can I book a taxi from the hotel?","Yes, reception can arrange a taxi for local travel or airport transfer.","transport"
"Do rooms have air conditioning?","Yes, all rooms are equipped with air conditioning and temperature controls.","amenities"
"Do you offer anniversary or birthday room decoration?","Yes, we offer paid room decoration packages for special occasions.","services"
